제목,카테고리
[공학교육혁신센터] 「2024 IoT-X 캡스톤디자인 경진대회」 참가팀 모집(~4/17),[공모전] 공학/IT/SW
[공학교육혁신센터] 「2024 IoT Maker 스터디그룹」 참가팀 모집(~4/30),[공모전] 공학/IT/SW
제12회 Creative Space G 「AI&IoT 메이커톤」 모집 공고,[공모전] 공학/IT/SW
[광주과학기술원] 제12회 Creative Space G 「AI&IoT 메이커톤」 모집 공고,[공모전] 공학/IT/SW
[공지] 2024학년도 심화과정 과학문화융합에세이 수상자 안내,[공모전] 문학/수기/에세이
[BK21 FOUR] 대학원생을 위한 학술적 글쓰기 특강 안내,[공모전] 문학/수기/에세이
[연세대학교 인문예술진흥사업단] 제5회 연세 인문학 캠프 및 에세이 공모전 안내,[공모전] 문학/수기/에세이
2024학년도 대학원생 [Graduate Pre-start] 학술적 글쓰기 특강 개최 안내,[공모전] 문학/수기/에세이
[대학원혁신실] 2024학년도 [Graduate Pre-start] 학술적 글쓰기 특강 안내,[공모전] 문학/수기/에세이
[연구]학술지 글쓰기 특강 안내,[공모전] 문학/수기/에세이
[교양교육원] 제2회 효원글쓰기대회 참여 안내(재공지),[공모전] 문학/수기/에세이
2024학년도 Pre-start 프로그램 특강 안내 - 학술적글쓰기 특강,[공모전] 문학/수기/에세이
2024학년도 <부산대 도서관 사서가 추천하는 올해의 책 독후감 공모전>,[공모전] 문학/수기/에세이
[희망자] 대학원생을 위한 학술적 글쓰기 특강 개최 안내,[공모전] 문학/수기/에세이
[일대원] 2024학년도 <Graduate Pre-start> 학술적 글쓰기 특강 안내,[공모전] 문학/수기/에세이
[도서관] 2024 '부산대 도서관 사서가 추천하는 올해의 책' 독후감 공모전,[공모전] 문학/수기/에세이
【추천공모전】2024 리딩엠 글쓰기 대회,[공모전] 문학/수기/에세이
2024청년평화에세이 공모전 안내,[공모전] 문학/수기/에세이
2022년 한-메콩 에세이 공모전,[공모전] 문학/수기/에세이
[김해시] 「2024 김해시 올해의 책」 독후감 전국 공모전 개최 안내,[공모전] 문학/수기/에세이
K-에듀케이션 북 에세이 공모전 안내,[공모전] 문학/수기/에세이
[교양교육원] <제 2회 효원 글쓰기대회> 개최 안내,[공모전] 문학/수기/에세이
2024년 장례문화 국민인식개선 영상 및 공간 디자인 통합 공모전,[공모전] 미술/디자인/건축
[학과활동인정] 2024 PNU 정컴 아이디어톤 개최 안내(12.26.(목)),[공모전] 아이디어/기획
[사회과학대학 학생회] 사회문제해결 아이디어 공모전 참가자 모집 안내,[공모전] 아이디어/기획
제5회 계룡장학재단 아이디어 공모전,[공모전] 아이디어/기획
[대회]2024년 스마트팜 인공지능활용 아이디어챌린지(~12/5),[공모전] 아이디어/기획
이차전지 아이디어 경진대회 수상 내역 알림,[공모전] 아이디어/기획
2024년 AI 활용 아이디어 공모전 모집 공고 안내,[공모전] 아이디어/기획
【추천공모전】 제7회 전국 청년 아이디어톤 대회,[공모전] 아이디어/기획
[미래와소프트웨어] 빅데이터 활용 미래 사회문제 해결 아이디어 해커톤 공모전(~1/28),[공모전] 아이디어/기획
예비교사 역량강화 비교과 프로그램 아이디어 공모전 참여 요청,[공모전] 아이디어/기획
[종합교원양성센터] 「비교과 프로그램 아이디어 공모전」 모집(~8/15),[공모전] 아이디어/기획
[에너지신산업 혁신융합대학] Energy Up! 2024 혁신융합 창업 아이디어톤 [강원대학교 사업단],[공모전] 아이디어/기획
[대회] 2024 의료 인공지능 아이디어 경진대회 참여자 모집 공고,[공모전] 아이디어/기획
[부산시] 제10회 부산 창업아이디어 경진대회 안내,[공모전] 아이디어/기획
[창업지원단] 『부산 패션 Re-Flying 아이디어 챌린지』 경진대회 모집 공고,[공모전] 아이디어/기획
2024년 나노과학기술대학 특허 아이디어 발굴 공모전 안내,[공모전] 아이디어/기획
2024 XR 디바이스 콘텐츠 메이커톤 & 아이디어 대회,[공모전] 아이디어/기획
경남테크노파크 2024 - 년 병원 제조기업연계형 사업화지원사업 아이디어 모집 연장 공고,[공모전] 아이디어/기획
[부산관광공사] 「2024년 부산 관광 아이디어 공모전」 개최 알림 및 홍보,[공모전] 아이디어/기획
[학생회] 2024 사회문제해결 아이디어 공모전 예선 합격자 발표,[공모전] 아이디어/기획
[한국원자력협력재단] 원자력 미래기술 아이디어 부트캠프 참가자 모집 (~12월 17일),[공모전] 아이디어/기획
[수영구] 망미종합시장 활성화를 위한 도시재생 청년 아이디어 해커톤 참여자 모집,[공모전] 아이디어/기획
[부산관광공사] 「2024년 부산 관광 아이디어 공모전」 기간 연장 안내 및 홍보,[공모전] 아이디어/기획
[부산정보산업진흥원] 2024년 AI 활용 아이디어 공모전 모집 공고 안내,[공모전] 아이디어/기획
[(재)부산정보산업진흥원] 2024년 클라우드 아이디어 공모전 홍보,[공모전] 아이디어/기획
부산금융중심지 정책제안 아이디어 공모전,[공모전] 아이디어/기획
[한국정보통신진흥협회] 제5회 디지털 신기술 아이디어 경진대회(~24.6.20),[공모전] 아이디어/기획
2024학년도 나노과학기술대학 특허 아이디어 발굴 프로그램 우수팀 선정 안내,[공모전] 아이디어/기획
[부산광역시] 2025 지산학연계 부산시민공원 명품화 아이디어 공모전 홍보,[공모전] 아이디어/기획
[BITS 부산공유대학] 창업캠프 창업아이디어대회 안내,[공모전] 아이디어/기획
[BITS 부산공유대학] 'BITS 창업캠프 심화과정-랜딩페이지로 창업아이디어 검증하기' 학생 모집 안내,[공모전] 아이디어/기획
지능형 홈 대국민 아이디어 공모전,[공모전] 아이디어/기획
[무주 반딧불 축제] 친환경 실천 이벤트 아이디어 공모전,[공모전] 아이디어/기획
한국형사·법무정책연구원 2025년 대학원생 연구아이디어 공모 안내,[공모전] 아이디어/기획
2025 한국무라타전자 아이디어 공모전(~02.19),[공모전] 아이디어/기획
기계공학부 학부생 기초학습튜터링_튜티 모집 안내,교육/특강/프로그램
[SPEC] 2024-2학기 나노반도체공정장비계약학과 산업체전문가 세미나 안내,교육/특강/프로그램
제11회 부산글로벌금융포럼 개최 안내,교육/특강/프로그램
"BK21 위기대응이론가 철학세미나 개최 안내(9.11.(수) 14시, 인문관 404호)",교육/특강/프로그램
AIOT 기반 스마트항만물류 세미나 (10.22.),교육/특강/프로그램
2024 SW중심대학 공동 SW산업세미나(1차) 신청안내,교육/특강/프로그램
농협대학교 희망농업협동포럼 신진연구자 학술지원 공모사업,교육/특강/프로그램
10/16일 대학원 세미나 일정 안내,교육/특강/프로그램
[LLC/부산대법학연구소] 제16회 세미나 '깊은 다름의 세계' 개최 알림,교육/특강/프로그램
2024 학생포트폴리오 경진대회 및 세미나 참가자 모집 안내,교육/특강/프로그램
[세미나안내] [SPEC] 2024-2 나노반도체공정장비계약학과 산업체전문가 세미나 4차_10/18(금),교육/특강/프로그램
[SPEC] 2024-2 나노반도체공정장비계약학과 산업체전문가 세미나 1차_9/6(금),교육/특강/프로그램
[부산광역시] 「왁지지껄 청년토크」행사 개최 알림,교육/특강/프로그램
[2024-2] 국제지역·협력세미나 수업시간 변경 → 토 9~12 Change class times and days,교육/특강/프로그램
DAPCOC 부산대 마약예방교육 세미나 안내,교육/특강/프로그램
[글로컬대학] 글로컬대학 학생을 위한 'MBN Y 포럼 2025' 개최 안내,교육/특강/프로그램
[KNN대한민국지역대포럼 준비단] 2024 대한민국 지역대포럼 재학생 초청,교육/특강/프로그램
[소프트웨어융합교육원] 2024 공동 SW산업세미나(3차) 신청안내(~11.5 까지),교육/특강/프로그램
2024년도 제1회 학봉포럼 개최 안내,교육/특강/프로그램
연구윤리 및 생명윤리 온라인 세미나,교육/특강/프로그램
"초청세미나 안내(11/8, 10시) - 진짜 초전도체의 성질",교육/특강/프로그램
공익인권법재단 공감 포럼 안내 (11/19 19:00),교육/특강/프로그램
[소프트웨어융합교육원] 2024 공동 SW산업세미나(1차) 신청안내(~9.23 까지),교육/특강/프로그램
2024학년도 기초학문진흥 '디지털인문학' 포럼 안내,교육/특강/프로그램
[부산광역시] 「2024 부산청년주간」 행사 개최 알림,교육/특강/프로그램
[국립대육성] 학생포트폴리오 세미나(경진대회 시상식 및 우수사례 발표) 샌드위치 증정!,교육/특강/프로그램
[행사]부산지역 산업체 AI 리더포럼(9월) 개최,교육/특강/프로그램
공익인권법재단 공감 포럼 안내,교육/특강/프로그램
"[부산대 여성연구소] 10월 평화포럼 폐허를 응시하라"" 개최""",교육/특강/프로그램
동계세미나 개최 알림,교육/특강/프로그램
[유네스코MAB한국위원회사무국] 2024년 유네스코 생물권보전지역 청년포럼 개최,교육/특강/프로그램
"2025년 2월 항공우주공학과 학위수여식 행사 개최 안내(2/28, 10:30~)",교육/특강/프로그램
자율연구세미나(24.10.10. 교통),교육/특강/프로그램
[국립대육성] 학생포트폴리오 세미나(경진대회 시상식 및 우수사례 발표) 샌드위치 증정!,교육/특강/프로그램
[소프트웨어융합교육원] 2024 공동 SW산업세미나(2차) 신청안내(~10.15 까지),교육/특강/프로그램
[소프트웨어융합교육원] 2024 공동 SW산업세미나(2차) 신청안내(~10.15 까지),교육/특강/프로그램
"[LLC/부산대법학연구소] 제15회 세미나 '제도, 삶의 비애 개최 알림""",교육/특강/프로그램
[특강] 제67차 문정포럼 미국대학도서관 '한국학 서비스의 현황과 전망',교육/특강/프로그램
9/11일- 대학원 세미나 안내,교육/특강/프로그램
초청세미나 안내(UC Berkeley 오지섭 박사 - 각분해광전자분광법의 원리와 그 실제 활용),교육/특강/프로그램
삼성중공업 리더십 세미나 안내,교육/특강/프로그램
2024 오션테크컨퍼런스 행사 개최 및 참가 안내,교육/특강/프로그램
한국콘텐츠진흥원 2024 콘텐츠분쟁조정포럼 안내,교육/특강/프로그램
[SPEC] 2024-2 나노반도체공정장비계약학과 산업체전문가 세미나 2차_9/13(금),교육/특강/프로그램
『대검찰청 형사법포럼』 개최 안내,교육/특강/프로그램
[세미나안내] [SPEC] 2024-2 나노반도체공정장비계약학과 산업체전문가 세미나 5차_11/1(금),교육/특강/프로그램
[SPEC] 2024-2 나노반도체공정장비계약학과 산업체전문가 세미나 3차_9/27(금),교육/특강/프로그램
[한국콩스버그마리타임(주)] 필드엔지니어 채용행사 개최,교육/특강/프로그램
BK21해외석학 초청세미나 안내,교육/특강/프로그램
[공통] 2024년 경상남도 유관기관 기록관리 전문협의체 학술세미나 안내,교육/특강/프로그램
『대검찰청 형사법포럼』 개최 안내,교육/특강/프로그램
2024 스마트시티 혁신인재육성사업 자율연구세미나 0819(사회기반),교육/특강/프로그램
스마트시티 혁신인재육성사업 온라인 세미나 개최(06.19.수),교육/특강/프로그램
경남권역장애인구강진료센터-장애인 등 특수계층의 치과 진료 역량 강화 세미나 개최 안내,교육/특강/프로그램
[세미나안내] [SPEC] 2024-2 나노반도체공정장비계약학과 산업체전문가 세미나 7차_11/29(금),교육/특강/프로그램
2024학년도 미래수업포럼 개최 안내,교육/특강/프로그램
[부산대 SCSC 연구센터] 인간중심-탄소 중립 글로벌 공급망 연구센터 강연 ( 12/9(월)) Ling Liu 교수님 세미나,교육/특강/프로그램
[부산광역시] 「2024 부산 색채포럼」개최,교육/특강/프로그램
BK21해외석학 초청세미나 안내,교육/특강/프로그램
제4회 경북대학교·계명대학교 인권센터 공동 세미나 개최 안내,교육/특강/프로그램
[세미나안내] [SPEC] 2024-2 나노반도체공정장비계약학과 산업체전문가 세미나 8차_12/6(금),교육/특강/프로그램
전체] 2024학년도 교육발전연구소 국내학술대회 및 제 22회 효원교육포럼 개최,교육/특강/프로그램
[LLC/부산대법학연구소] 제18회 세미나 '가면과 정체(Mask and Identity)' 개최 안내,교육/특강/프로그램
"[LLC/부산대법학연구소] 제11회 세미나 '(법학을) 공부하는 삶 개최 안내""",교육/특강/프로그램
"[LLC/부산대법학연구소] 제9회 세미나 '모든 것의 이야기 개최 안내""",교육/특강/프로그램
2024년 감염관리전문간호사 교육기관협의회 하계 세미나 개최 안내,교육/특강/프로그램
"[학부] 실내환경세미나-건축과 환경 특강 안내(12/11(수), 14시)",교육/특강/프로그램
공과대학 시그니처 세미나 안내(11/16),교육/특강/프로그램
자율연구세미나(기후)241128...,교육/특강/프로그램
